Start date;End date;Germany/Luxembourg [€/MWh] Original resolutions;∅ DE/LU neighbours [€/MWh] Original resolutions;Belgium [€/MWh] Original resolutions;Denmark 1 [€/MWh] Original resolutions;Denmark 2 [€/MWh] Original resolutions;France [€/MWh] Original resolutions;Netherlands [€/MWh] Original resolutions;Norway 2 [€/MWh] Original resolutions;Austria [€/MWh] Original resolutions;Poland [€/MWh] Original resolutions;Sweden 4 [€/MWh] Original resolutions;Switzerland [€/MWh] Original resolutions;Czech Republic [€/MWh] Original resolutions;DE/AT/LU [€/MWh] Original resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Original resolutions;Hungary [€/MWh] Original resolutions
May 22, 2025 12:00 AM;May 22, 2025 1:00 AM;98.54;69.78;92.07;5.00;34.75;22.23;116.70;53.37;105.94;108.00;31.48;96.17;101.90;-;105.94;107.63;104.50
May 22, 2025 1:00 AM;May 22, 2025 2:00 AM;88.28;64.16;82.77;5.04;31.16;20.08;108.15;48.15;95.07;103.98;27.95;92.28;91.14;-;96.83;97.04;95.07
May 22, 2025 2:00 AM;May 22, 2025 3:00 AM;83.65;63.42;85.70;7.38;29.24;16.20;115.00;45.60;90.86;103.69;26.30;90.80;86.89;-;92.38;92.38;89.37
May 22, 2025 3:00 AM;May 22, 2025 4:00 AM;81.50;59.62;78.47;7.50;26.14;5.11;99.20;41.21;92.04;106.68;23.50;89.46;86.53;-;94.16;94.16;89.97
May 22, 2025 4:00 AM;May 22, 2025 5:00 AM;83.34;55.72;70.99;5.02;20.90;5.11;83.34;32.83;91.67;107.98;18.78;88.98;87.33;-;91.67;93.59;90.17
May 22, 2025 5:00 AM;May 22, 2025 6:00 AM;90.00;60.46;79.25;10.01;25.83;13.00;90.00;40.38;98.51;95.65;23.05;95.26;94.10;-;98.51;100.44;96.97
May 22, 2025 6:00 AM;May 22, 2025 7:00 AM;107.67;72.59;93.14;14.24;36.01;18.64;100.00;56.18;116.42;111.96;32.27;107.33;112.33;-;122.66;122.66;116.42
May 22, 2025 7:00 AM;May 22, 2025 8:00 AM;106.01;81.12;109.50;19.99;39.01;54.30;106.01;60.85;124.91;114.71;35.45;115.61;112.03;-;127.60;124.91;119.92
May 22, 2025 8:00 AM;May 22, 2025 9:00 AM;98.16;74.43;87.03;31.00;36.56;50.81;98.16;56.47;104.95;108.76;32.98;108.57;103.39;-;132.69;106.78;106.10
May 22, 2025 9:00 AM;May 22, 2025 10:00 AM;54.54;64.09;75.68;12.64;26.44;49.20;54.54;55.20;99.55;105.82;23.77;103.23;98.92;-;124.34;90.73;90.06
May 22, 2025 10:00 AM;May 22, 2025 11:00 AM;1.66;46.25;45.97;1.66;3.71;9.85;-2.00;55.20;92.89;101.35;3.62;103.61;92.89;-;115.31;73.78;73.43
May 22, 2025 11:00 AM;May 22, 2025 12:00 PM;0.01;45.22;49.69;0.01;1.98;13.63;-3.00;51.40;88.25;103.12;2.02;102.06;88.25;-;108.98;70.02;69.62
May 22, 2025 12:00 PM;May 22, 2025 1:00 PM;-1.91;38.30;10.77;-0.01;0.35;0.00;-7.01;37.04;90.00;103.59;0.51;96.08;90.00;-;96.09;74.93;69.02
May 22, 2025 1:00 PM;May 22, 2025 2:00 PM;-12.77;34.01;0.00;-0.01;1.02;0.00;-14.00;25.00;81.26;103.58;1.11;94.93;81.26;-;101.27;81.26;55.90
