Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Dec 31, 2021 12:00 AM;Dec 31, 2021 1:00 AM;46,480.75;50,027.50;3,546.75;11,942.00
Dec 31, 2021 1:00 AM;Dec 31, 2021 2:00 AM;44,112.00;48,159.25;4,047.25;11,831.00
Dec 31, 2021 2:00 AM;Dec 31, 2021 3:00 AM;42,693.00;46,886.00;4,193.00;11,858.00
Dec 31, 2021 3:00 AM;Dec 31, 2021 4:00 AM;42,317.50;46,763.00;4,445.50;12,580.00
Dec 31, 2021 4:00 AM;Dec 31, 2021 5:00 AM;43,436.75;47,496.75;4,060.00;12,864.25
Dec 31, 2021 5:00 AM;Dec 31, 2021 6:00 AM;44,699.25;47,190.50;2,491.25;12,774.75
Dec 31, 2021 6:00 AM;Dec 31, 2021 7:00 AM;45,752.75;48,149.00;2,396.25;14,006.50
Dec 31, 2021 7:00 AM;Dec 31, 2021 8:00 AM;47,772.00;49,675.00;1,903.00;16,307.00
Dec 31, 2021 8:00 AM;Dec 31, 2021 9:00 AM;50,900.75;52,160.75;1,260.00;17,573.25
Dec 31, 2021 9:00 AM;Dec 31, 2021 10:00 AM;53,790.00;55,710.25;1,920.25;16,917.00
Dec 31, 2021 10:00 AM;Dec 31, 2021 11:00 AM;55,789.25;58,106.75;2,317.50;16,739.25
Dec 31, 2021 11:00 AM;Dec 31, 2021 12:00 PM;56,936.50;58,667.75;1,731.25;15,870.75
Dec 31, 2021 12:00 PM;Dec 31, 2021 1:00 PM;57,021.00;59,034.50;2,013.50;16,228.25
Dec 31, 2021 1:00 PM;Dec 31, 2021 2:00 PM;55,707.50;57,923.75;2,216.25;15,591.75
Dec 31, 2021 2:00 PM;Dec 31, 2021 3:00 PM;54,224.00;55,500.25;1,276.25;14,701.00
Dec 31, 2021 3:00 PM;Dec 31, 2021 4:00 PM;54,372.75;54,996.25;623.50;15,962.25
Dec 31, 2021 4:00 PM;Dec 31, 2021 5:00 PM;56,234.25;56,546.75;312.50;16,994.00
Dec 31, 2021 5:00 PM;Dec 31, 2021 6:00 PM;59,010.75;59,132.75;122.00;19,291.25
Dec 31, 2021 6:00 PM;Dec 31, 2021 7:00 PM;59,102.25;59,301.25;199.00;19,594.00
Dec 31, 2021 7:00 PM;Dec 31, 2021 8:00 PM;56,339.00;56,675.00;336.00;17,426.00
Dec 31, 2021 8:00 PM;Dec 31, 2021 9:00 PM;52,369.75;54,033.50;1,663.75;15,357.75
Dec 31, 2021 9:00 PM;Dec 31, 2021 10:00 PM;49,243.50;50,929.50;1,686.00;15,164.50
Dec 31, 2021 10:00 PM;Dec 31, 2021 11:00 PM;47,948.25;48,249.00;300.75;14,810.75
Dec 31, 2021 11:00 PM;Jan 1, 2022 12:00 AM;46,078.25;48,810.50;2,732.25;13,954.75
Jan 1, 2022 12:00 AM;Jan 1, 2022 1:00 AM;44,351.25;46,958.25;2,607.00;12,771.00
Jan 1, 2022 1:00 AM;Jan 1, 2022 2:00 AM;41,957.75;44,621.25;2,663.50;11,832.75
Jan 1, 2022 2:00 AM;Jan 1, 2022 3:00 AM;40,888.00;43,811.50;2,923.50;12,149.25
Jan 1, 2022 3:00 AM;Jan 1, 2022 4:00 AM;39,964.00;43,291.75;3,327.75;12,465.75
Jan 1, 2022 4:00 AM;Jan 1, 2022 5:00 AM;39,733.50;43,295.25;3,561.75;13,524.25
Jan 1, 2022 5:00 AM;Jan 1, 2022 6:00 AM;39,223.00;42,121.75;2,898.75;15,102.00
Jan 1, 2022 6:00 AM;Jan 1, 2022 7:00 AM;38,812.00;41,149.25;2,337.25;15,002.50
Jan 1, 2022 7:00 AM;Jan 1, 2022 8:00 AM;39,485.50;41,399.25;1,913.75;16,575.00
Jan 1, 2022 8:00 AM;Jan 1, 2022 9:00 AM;40,711.25;42,423.00;1,711.75;19,616.25
Jan 1, 2022 9:00 AM;Jan 1, 2022 10:00 AM;42,931.25;44,417.50;1,486.25;21,186.75
Jan 1, 2022 10:00 AM;Jan 1, 2022 11:00 AM;44,824.75;46,105.75;1,281.00;22,616.50
Jan 1, 2022 11:00 AM;Jan 1, 2022 12:00 PM;47,201.75;48,704.00;1,502.25;24,616.50
Jan 1, 2022 12:00 PM;Jan 1, 2022 1:00 PM;47,800.00;48,489.00;689.00;24,941.00
Jan 1, 2022 1:00 PM;Jan 1, 2022 2:00 PM;46,868.50;47,799.75;931.25;25,727.75
Jan 1, 2022 2:00 PM;Jan 1, 2022 3:00 PM;46,193.00;46,809.75;616.75;27,492.50
Jan 1, 2022 3:00 PM;Jan 1, 2022 4:00 PM;46,142.00;46,437.75;295.75;29,608.25
Jan 1, 2022 4:00 PM;Jan 1, 2022 5:00 PM;48,370.50;48,429.00;58.50;31,441.50
Jan 1, 2022 5:00 PM;Jan 1, 2022 6:00 PM;52,123.00;52,209.25;86.25;33,042.50
Jan 1, 2022 6:00 PM;Jan 1, 2022 7:00 PM;53,111.50;53,265.25;153.75;31,961.00
Jan 1, 2022 7:00 PM;Jan 1, 2022 8:00 PM;52,129.75;52,343.25;213.50;28,977.75
Jan 1, 2022 8:00 PM;Jan 1, 2022 9:00 PM;50,173.75;50,379.50;205.75;25,871.75
Jan 1, 2022 9:00 PM;Jan 1, 2022 10:00 PM;48,523.75;48,744.50;220.75;23,470.00
Jan 1, 2022 10:00 PM;Jan 1, 2022 11:00 PM;47,954.00;48,469.00;515.00;22,533.00
Jan 1, 2022 11:00 PM;Jan 2, 2022 12:00 AM;45,324.25;45,915.75;591.50;19,446.75
Jan 2, 2022 12:00 AM;Jan 2, 2022 1:00 AM;43,097.75;46,662.25;3,564.50;17,146.75
Jan 2, 2022 1:00 AM;Jan 2, 2022 2:00 AM;41,893.75;46,176.50;4,282.75;16,214.00
Jan 2, 2022 2:00 AM;Jan 2, 2022 3:00 AM;41,165.00;45,308.00;4,143.00;16,317.75
Jan 2, 2022 3:00 AM;Jan 2, 2022 4:00 AM;40,933.50;44,851.75;3,918.25;15,636.75
Jan 2, 2022 4:00 AM;Jan 2, 2022 5:00 AM;41,110.50;45,220.25;4,109.75;16,916.00
Jan 2, 2022 5:00 AM;Jan 2, 2022 6:00 AM;41,151.75;45,065.75;3,914.00;16,603.50
Jan 2, 2022 6:00 AM;Jan 2, 2022 7:00 AM;40,815.50;42,978.00;2,162.50;15,722.25
Jan 2, 2022 7:00 AM;Jan 2, 2022 8:00 AM;42,685.25;44,183.25;1,498.00;16,606.75
Jan 2, 2022 8:00 AM;Jan 2, 2022 9:00 AM;45,866.75;47,024.00;1,157.25;17,167.25
Jan 2, 2022 9:00 AM;Jan 2, 2022 10:00 AM;48,807.25;49,875.00;1,067.75;18,033.50
Jan 2, 2022 10:00 AM;Jan 2, 2022 11:00 AM;51,074.50;52,049.00;974.50;16,690.75
Jan 2, 2022 11:00 AM;Jan 2, 2022 12:00 PM;54,160.00;55,016.50;856.50;16,218.25
Jan 2, 2022 12:00 PM;Jan 2, 2022 1:00 PM;55,069.75;55,971.50;901.75;14,776.00
Jan 2, 2022 1:00 PM;Jan 2, 2022 2:00 PM;53,846.50;55,373.25;1,526.75;13,527.50
Jan 2, 2022 2:00 PM;Jan 2, 2022 3:00 PM;53,191.25;54,830.50;1,639.25;12,788.75
Jan 2, 2022 3:00 PM;Jan 2, 2022 4:00 PM;53,736.50;55,536.75;1,800.25;13,275.00
Jan 2, 2022 4:00 PM;Jan 2, 2022 5:00 PM;56,035.75;57,621.00;1,585.25;15,073.25
Jan 2, 2022 5:00 PM;Jan 2, 2022 6:00 PM;59,134.00;59,957.00;823.00;16,888.25
Jan 2, 2022 6:00 PM;Jan 2, 2022 7:00 PM;59,316.00;59,777.50;461.50;16,561.50
Jan 2, 2022 7:00 PM;Jan 2, 2022 8:00 PM;57,902.00;58,978.50;1,076.50;16,214.75
Jan 2, 2022 8:00 PM;Jan 2, 2022 9:00 PM;55,313.25;56,893.00;1,579.75;14,401.00
Jan 2, 2022 9:00 PM;Jan 2, 2022 10:00 PM;52,960.25;54,417.00;1,456.75;13,673.25
Jan 2, 2022 10:00 PM;Jan 2, 2022 11:00 PM;51,425.50;53,703.00;2,277.50;14,745.00
Jan 2, 2022 11:00 PM;Jan 3, 2022 12:00 AM;48,334.50;50,360.00;2,025.50;12,435.00
Jan 3, 2022 12:00 AM;Jan 3, 2022 1:00 AM;45,815.25;49,204.75;3,389.50;10,849.25
Jan 3, 2022 1:00 AM;Jan 3, 2022 2:00 AM;44,057.00;48,308.50;4,251.50;11,282.00
Jan 3, 2022 2:00 AM;Jan 3, 2022 3:00 AM;42,981.25;47,220.25;4,239.00;10,812.00
Jan 3, 2022 3:00 AM;Jan 3, 2022 4:00 AM;43,514.50;47,793.00;4,278.50;12,125.00
Jan 3, 2022 4:00 AM;Jan 3, 2022 5:00 AM;44,990.00;48,294.75;3,304.75;12,012.00
Jan 3, 2022 5:00 AM;Jan 3, 2022 6:00 AM;48,821.50;50,347.25;1,525.75;11,719.00
Jan 3, 2022 6:00 AM;Jan 3, 2022 7:00 AM;55,943.25;57,164.25;1,221.00;13,583.00
Jan 3, 2022 7:00 AM;Jan 3, 2022 8:00 AM;62,190.75;62,777.50;586.75;18,418.25
Jan 3, 2022 8:00 AM;Jan 3, 2022 9:00 AM;65,713.25;66,067.25;354.00;22,789.25
