Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Dec 31, 2021 12:00 AM;Dec 31, 2021 1:00 AM;4,278.00;1,589.25;5,508.50;29,030.25;0.00;158.00;6,791.75;3,664.50;2,645.25;3,198.00;342.00;1,451.25
Dec 31, 2021 1:00 AM;Dec 31, 2021 2:00 AM;4,259.75;1,599.50;5,812.25;26,468.75;0.00;158.00;6,764.00;3,515.50;2,384.25;3,256.75;281.25;1,457.25
Dec 31, 2021 2:00 AM;Dec 31, 2021 3:00 AM;4,232.75;1,572.75;5,903.25;24,931.75;0.00;158.50;6,763.00;3,501.50;2,062.25;3,221.75;238.25;1,448.50
Dec 31, 2021 3:00 AM;Dec 31, 2021 4:00 AM;4,209.50;1,550.00;6,026.75;23,710.75;0.00;159.25;6,578.50;3,518.00;2,056.00;3,166.75;227.25;1,443.50
Dec 31, 2021 4:00 AM;Dec 31, 2021 5:00 AM;4,207.50;1,565.00;6,212.75;24,359.75;0.00;159.75;6,672.75;3,565.50;2,069.25;3,162.50;228.00;1,443.00
Dec 31, 2021 5:00 AM;Dec 31, 2021 6:00 AM;4,247.50;1,553.50;6,144.50;25,780.00;0.00;159.50;6,777.25;3,589.75;2,097.00;3,217.25;283.50;1,442.00
Dec 31, 2021 6:00 AM;Dec 31, 2021 7:00 AM;4,332.25;1,570.50;6,145.50;25,600.75;0.00;158.50;6,744.25;3,610.25;2,109.00;3,232.75;1,701.00;1,427.50
Dec 31, 2021 7:00 AM;Dec 31, 2021 8:00 AM;4,447.50;1,562.75;6,193.25;25,271.50;0.25;158.50;6,787.25;3,765.75;2,146.00;3,271.00;1,937.75;1,432.00
Dec 31, 2021 8:00 AM;Dec 31, 2021 9:00 AM;4,566.50;1,548.50;5,996.75;27,013.25;317.50;157.75;6,807.25;3,830.50;2,168.75;3,276.00;2,141.25;1,434.50
Dec 31, 2021 9:00 AM;Dec 31, 2021 10:00 AM;4,546.25;1,566.00;5,587.50;28,431.00;2,854.50;156.00;6,796.75;4,019.75;2,189.50;3,262.75;1,816.25;1,422.75
Dec 31, 2021 10:00 AM;Dec 31, 2021 11:00 AM;4,537.75;1,561.50;5,512.00;26,992.25;6,545.75;153.00;6,759.00;3,855.00;2,232.50;3,245.00;660.00;1,425.25
