Start date;End date;Germany/Luxembourg [€/MWh] Original resolutions;∅ DE/LU neighbours [€/MWh] Original resolutions;Belgium [€/MWh] Original resolutions;Denmark 1 [€/MWh] Original resolutions;Denmark 2 [€/MWh] Original resolutions;France [€/MWh] Original resolutions;Netherlands [€/MWh] Original resolutions;Norway 2 [€/MWh] Original resolutions;Austria [€/MWh] Original resolutions;Poland [€/MWh] Original resolutions;Sweden 4 [€/MWh] Original resolutions;Switzerland [€/MWh] Original resolutions;Czech Republic [€/MWh] Original resolutions;DE/AT/LU [€/MWh] Original resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Original resolutions;Hungary [€/MWh] Original resolutions
Dec 31, 2021 12:00 AM;Dec 31, 2021 1:00 AM;5.71;62.10;13.04;5.71;30.04;120.90;5.71;139.70;65.76;72.14;30.04;134.34;65.76;-;120.90;120.90;65.76
Dec 31, 2021 1:00 AM;Dec 31, 2021 2:00 AM;0.09;59.50;-35.50;26.15;26.15;87.21;26.15;128.57;89.04;66.74;26.15;124.85;89.04;-;95.99;89.04;89.04
Dec 31, 2021 2:00 AM;Dec 31, 2021 3:00 AM;-0.03;56.90;-40.16;25.12;25.12;94.48;25.12;115.05;93.08;54.81;25.12;115.12;93.08;-;94.48;93.08;93.08
Dec 31, 2021 3:00 AM;Dec 31, 2021 4:00 AM;-0.05;40.36;-28.00;24.01;24.01;39.87;0.00;113.54;40.59;49.78;24.01;115.52;40.59;-;100.00;40.59;40.59
Dec 31, 2021 4:00 AM;Dec 31, 2021 5:00 AM;-0.03;40.09;-28.00;24.81;24.81;37.33;0.00;114.38;39.11;50.49;24.81;114.17;39.11;-;119.00;39.11;39.11
Dec 31, 2021 5:00 AM;Dec 31, 2021 6:00 AM;0.04;48.84;-10.00;24.43;24.43;48.88;0.04;112.88;66.54;66.54;24.43;112.49;66.54;-;119.00;66.54;66.54
Dec 31, 2021 6:00 AM;Dec 31, 2021 7:00 AM;-0.05;62.11;14.92;27.18;27.18;73.37;23.00;123.47;67.03;82.84;27.18;149.98;67.03;-;160.25;160.25;67.03
Dec 31, 2021 7:00 AM;Dec 31, 2021 8:00 AM;-0.06;73.66;-0.06;30.34;30.34;87.97;90.00;124.55;87.03;87.03;30.34;155.71;87.03;-;186.72;184.70;87.03
Dec 31, 2021 8:00 AM;Dec 31, 2021 9:00 AM;0.17;85.54;32.00;32.64;32.64;110.38;129.45;136.41;93.01;93.01;32.64;155.79;93.01;-;196.35;93.01;93.01
Dec 31, 2021 9:00 AM;Dec 31, 2021 10:00 AM;0.91;85.79;-15.58;35.22;35.22;141.80;136.35;140.86;92.54;92.54;35.22;156.94;92.54;-;184.42;92.54;92.54
Dec 31, 2021 10:00 AM;Dec 31, 2021 11:00 AM;0.93;83.94;-26.22;39.16;39.16;138.00;110.83;144.59;94.86;94.86;39.16;154.13;94.86;-;177.37;94.86;94.86
Dec 31, 2021 11:00 AM;Dec 31, 2021 12:00 PM;10.05;83.94;14.02;45.42;45.42;89.01;105.86;144.97;93.07;93.07;45.42;153.97;93.07;-;161.19;154.80;93.07
Dec 31, 2021 12:00 PM;Dec 31, 2021 1:00 PM;10.01;85.49;-13.78;50.45;50.45;124.99;97.83;145.18;93.00;93.00;50.45;155.79;93.00;-;151.40;150.00;93.00
Dec 31, 2021 1:00 PM;Dec 31, 2021 2:00 PM;10.02;82.59;3.76;51.64;51.64;89.74;75.00;145.23;95.11;95.11;51.64;154.49;95.11;-;145.39;145.39;95.11
Dec 31, 2021 2:00 PM;Dec 31, 2021 3:00 PM;25.49;90.46;-10.00;52.92;52.92;143.00;99.00;145.49;101.08;101.08;52.92;155.54;101.08;-;161.19;150.00;101.08
Dec 31, 2021 3:00 PM;Dec 31, 2021 4:00 PM;20.49;92.17;-8.47;55.36;55.36;141.00;99.90;146.20;105.01;105.01;55.36;154.16;105.01;-;190.11;155.00;137.46
Dec 31, 2021 4:00 PM;Dec 31, 2021 5:00 PM;62.23;117.24;92.24;95.06;95.06;156.17;139.30;146.50;105.07;105.07;95.06;155.04;105.07;-;215.85;108.20;209.14
Dec 31, 2021 5:00 PM;Dec 31, 2021 6:00 PM;60.97;123.29;92.99;105.07;105.07;186.03;142.53;147.24;105.07;105.07;105.07;156.99;105.07;-;233.93;233.93;216.00
Dec 31, 2021 6:00 PM;Dec 31, 2021 7:00 PM;40.01;118.85;78.16;94.78;94.78;193.15;130.00;144.33;101.10;99.99;94.78;176.31;99.99;-;221.76;108.20;137.48
Dec 31, 2021 7:00 PM;Dec 31, 2021 8:00 PM;32.49;95.35;60.72;48.01;48.01;175.94;74.90;141.34;92.66;92.66;48.01;173.95;92.66;-;219.14;92.66;113.00
Dec 31, 2021 8:00 PM;Dec 31, 2021 9:00 PM;0.18;82.99;-32.27;33.96;33.96;157.92;94.00;141.97;105.00;92.00;33.96;160.42;92.00;-;213.60;105.00;105.00
Dec 31, 2021 9:00 PM;Dec 31, 2021 10:00 PM;0.08;83.59;6.20;33.08;33.08;175.12;84.90;140.50;99.37;78.03;33.08;158.08;78.03;-;192.79;99.37;99.37
Dec 31, 2021 10:00 PM;Dec 31, 2021 11:00 PM;5.10;82.85;35.96;32.34;32.34;140.38;99.00;139.18;105.01;69.70;32.34;155.35;69.70;-;180.00;105.01;105.01
Dec 31, 2021 11:00 PM;Jan 1, 2022 12:00 AM;6.32;73.99;36.34;29.76;29.76;127.81;98.20;138.30;57.98;57.98;29.76;150.03;57.98;-;180.00;57.98;57.98
Jan 1, 2022 12:00 AM;Jan 1, 2022 1:00 AM;50.05;78.44;82.02;50.05;46.60;89.06;124.70;132.89;61.84;59.03;46.60;119.97;50.05;-;170.28;61.84;61.84
Jan 1, 2022 1:00 AM;Jan 1, 2022 2:00 AM;41.33;69.75;67.07;41.33;41.33;78.48;124.70;129.30;51.44;49.37;41.33;101.54;41.33;-;155.72;51.44;41.33
Jan 1, 2022 2:00 AM;Jan 1, 2022 3:00 AM;43.22;68.04;75.11;43.22;42.18;85.16;134.00;132.08;55.91;43.22;42.18;52.13;43.22;-;147.09;55.91;43.22
Jan 1, 2022 3:00 AM;Jan 1, 2022 4:00 AM;45.46;51.27;50.91;45.46;44.37;50.00;58.80;111.44;46.94;45.46;44.37;20.78;45.46;-;91.00;46.94;45.46
Jan 1, 2022 4:00 AM;Jan 1, 2022 5:00 AM;37.67;42.46;37.67;37.67;37.67;37.67;37.67;112.35;37.67;37.67;37.67;15.66;37.67;-;104.00;37.67;37.67
Jan 1, 2022 5:00 AM;Jan 1, 2022 6:00 AM;39.70;44.79;39.70;39.70;39.70;39.70;39.70;113.90;39.70;39.70;39.70;21.47;39.70;-;140.60;39.70;39.70
Jan 1, 2022 6:00 AM;Jan 1, 2022 7:00 AM;40.59;47.04;40.59;40.59;40.59;40.59;40.59;122.25;40.59;40.59;40.59;29.89;40.59;-;147.09;40.59;40.59
Jan 1, 2022 7:00 AM;Jan 1, 2022 8:00 AM;43.26;54.84;43.26;43.26;43.26;43.26;43.26;118.58;43.26;43.26;43.26;95.33;43.26;-;99.99;43.26;43.26
Jan 1, 2022 8:00 AM;Jan 1, 2022 9:00 AM;49.66;60.07;49.66;49.66;49.66;49.66;49.66;118.47;49.66;49.66;49.66;95.36;49.66;-;67.99;49.66;49.66
