Start date;End date;grid load [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2022 12:00 AM;Jan 1, 2022 1:00 AM;42,310.25;10,779.50
Jan 1, 2022 1:00 AM;Jan 1, 2022 2:00 AM;40,419.00;9,956.50
Jan 1, 2022 2:00 AM;Jan 1, 2022 3:00 AM;39,095.75;10,040.50
Jan 1, 2022 3:00 AM;Jan 1, 2022 4:00 AM;38,066.50;10,459.00
Jan 1, 2022 4:00 AM;Jan 1, 2022 5:00 AM;38,188.25;11,932.75
Jan 1, 2022 5:00 AM;Jan 1, 2022 6:00 AM;37,342.00;12,500.50
Jan 1, 2022 6:00 AM;Jan 1, 2022 7:00 AM;35,916.00;12,190.25
Jan 1, 2022 7:00 AM;Jan 1, 2022 8:00 AM;37,227.25;14,890.75
Jan 1, 2022 8:00 AM;Jan 1, 2022 9:00 AM;39,798.50;18,620.25
Jan 1, 2022 9:00 AM;Jan 1, 2022 10:00 AM;42,681.50;21,471.25
Jan 1, 2022 10:00 AM;Jan 1, 2022 11:00 AM;45,139.25;23,229.75
Jan 1, 2022 11:00 AM;Jan 1, 2022 12:00 PM;48,018.25;25,676.25
Jan 1, 2022 12:00 PM;Jan 1, 2022 1:00 PM;48,966.00;27,053.50
Jan 1, 2022 1:00 PM;Jan 1, 2022 2:00 PM;47,680.00;27,458.75
Jan 1, 2022 2:00 PM;Jan 1, 2022 3:00 PM;46,417.00;28,749.50
Jan 1, 2022 3:00 PM;Jan 1, 2022 4:00 PM;46,308.00;31,437.25
Jan 1, 2022 4:00 PM;Jan 1, 2022 5:00 PM;48,155.25;34,208.75
Jan 1, 2022 5:00 PM;Jan 1, 2022 6:00 PM;51,300.25;36,009.50
Jan 1, 2022 6:00 PM;Jan 1, 2022 7:00 PM;52,272.50;35,393.50
Jan 1, 2022 7:00 PM;Jan 1, 2022 8:00 PM;50,979.25;32,669.25
Jan 1, 2022 8:00 PM;Jan 1, 2022 9:00 PM;48,796.75;29,138.25
Jan 1, 2022 9:00 PM;Jan 1, 2022 10:00 PM;47,522.25;26,560.50
Jan 1, 2022 10:00 PM;Jan 1, 2022 11:00 PM;47,009.00;25,039.25
Jan 1, 2022 11:00 PM;Jan 2, 2022 12:00 AM;44,596.50;21,600.50
Jan 2, 2022 12:00 AM;Jan 2, 2022 1:00 AM;45,590.75;21,764.50
Jan 2, 2022 1:00 AM;Jan 2, 2022 2:00 AM;44,495.25;20,642.75
Jan 2, 2022 2:00 AM;Jan 2, 2022 3:00 AM;44,124.00;20,182.25
Jan 2, 2022 3:00 AM;Jan 2, 2022 4:00 AM;43,972.75;19,986.25
Jan 2, 2022 4:00 AM;Jan 2, 2022 5:00 AM;44,588.00;20,713.50
Jan 2, 2022 5:00 AM;Jan 2, 2022 6:00 AM;44,417.75;20,724.00
Jan 2, 2022 6:00 AM;Jan 2, 2022 7:00 AM;44,063.50;20,060.75
Jan 2, 2022 7:00 AM;Jan 2, 2022 8:00 AM;44,847.75;20,453.75
Jan 2, 2022 8:00 AM;Jan 2, 2022 9:00 AM;47,443.25;22,012.75
Jan 2, 2022 9:00 AM;Jan 2, 2022 10:00 AM;50,976.25;23,089.25
Jan 2, 2022 10:00 AM;Jan 2, 2022 11:00 AM;53,292.75;22,424.50
Jan 2, 2022 11:00 AM;Jan 2, 2022 12:00 PM;55,468.25;21,847.50
Jan 2, 2022 12:00 PM;Jan 2, 2022 1:00 PM;55,598.50;19,560.25
Jan 2, 2022 1:00 PM;Jan 2, 2022 2:00 PM;54,696.50;16,905.25
Jan 2, 2022 2:00 PM;Jan 2, 2022 3:00 PM;53,694.50;14,831.50
Jan 2, 2022 3:00 PM;Jan 2, 2022 4:00 PM;53,073.75;13,830.25
Jan 2, 2022 4:00 PM;Jan 2, 2022 5:00 PM;54,358.75;14,855.50
Jan 2, 2022 5:00 PM;Jan 2, 2022 6:00 PM;57,261.75;16,984.75
Jan 2, 2022 6:00 PM;Jan 2, 2022 7:00 PM;58,343.00;17,647.75
Jan 2, 2022 7:00 PM;Jan 2, 2022 8:00 PM;57,850.00;17,133.50
Jan 2, 2022 8:00 PM;Jan 2, 2022 9:00 PM;56,003.75;15,750.75
Jan 2, 2022 9:00 PM;Jan 2, 2022 10:00 PM;54,271.75;14,590.75
Jan 2, 2022 10:00 PM;Jan 2, 2022 11:00 PM;53,797.50;15,423.50
Jan 2, 2022 11:00 PM;Jan 3, 2022 12:00 AM;51,105.75;13,182.50
Jan 3, 2022 12:00 AM;Jan 3, 2022 1:00 AM;49,078.75;12,483.25
Jan 3, 2022 1:00 AM;Jan 3, 2022 2:00 AM;47,375.00;10,738.25
Jan 3, 2022 2:00 AM;Jan 3, 2022 3:00 AM;46,770.50;9,224.50
Jan 3, 2022 3:00 AM;Jan 3, 2022 4:00 AM;47,158.00;8,805.75
Jan 3, 2022 4:00 AM;Jan 3, 2022 5:00 AM;48,625.00;9,705.25
Jan 3, 2022 5:00 AM;Jan 3, 2022 6:00 AM;51,491.25;11,957.75
Jan 3, 2022 6:00 AM;Jan 3, 2022 7:00 AM;56,968.75;16,354.50
Jan 3, 2022 7:00 AM;Jan 3, 2022 8:00 AM;61,726.00;20,849.75
Jan 3, 2022 8:00 AM;Jan 3, 2022 9:00 AM;64,284.00;23,204.00
Jan 3, 2022 9:00 AM;Jan 3, 2022 10:00 AM;65,518.00;23,220.25
Jan 3, 2022 10:00 AM;Jan 3, 2022 11:00 AM;65,845.25;21,578.25
Jan 3, 2022 11:00 AM;Jan 3, 2022 12:00 PM;67,319.25;21,129.50
Jan 3, 2022 12:00 PM;Jan 3, 2022 1:00 PM;67,654.00;20,654.75
