Start date;End date;Total [MWh] Original resolutions;Photovoltaics and wind [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other [MWh] Original resolutions
Jan 1, 2022 12:00 AM;Jan 1, 2022 1:00 AM;52,473.00;31,530.75;5,928.00;25,602.75;0.00;20,942.25
Jan 1, 2022 1:00 AM;Jan 1, 2022 2:00 AM;50,246.00;30,462.50;5,834.75;24,627.75;0.00;19,783.50
Jan 1, 2022 2:00 AM;Jan 1, 2022 3:00 AM;49,656.00;29,055.25;5,579.50;23,475.75;0.00;20,600.75
Jan 1, 2022 3:00 AM;Jan 1, 2022 4:00 AM;47,619.00;27,607.50;5,278.50;22,329.00;0.00;20,011.50
Jan 1, 2022 4:00 AM;Jan 1, 2022 5:00 AM;45,778.00;26,255.50;4,967.75;21,287.75;0.00;19,522.50
Jan 1, 2022 5:00 AM;Jan 1, 2022 6:00 AM;44,719.00;24,841.50;4,649.50;20,192.00;0.00;19,877.50
Jan 1, 2022 6:00 AM;Jan 1, 2022 7:00 AM;43,976.00;23,725.75;4,416.25;19,309.50;0.00;20,250.25
Jan 1, 2022 7:00 AM;Jan 1, 2022 8:00 AM;42,806.00;22,336.50;4,168.75;18,167.75;0.00;20,469.50
Jan 1, 2022 8:00 AM;Jan 1, 2022 9:00 AM;42,996.00;21,178.25;3,881.75;16,961.00;335.50;21,817.75
Jan 1, 2022 9:00 AM;Jan 1, 2022 10:00 AM;44,961.00;21,210.25;3,711.50;15,467.00;2,031.75;23,750.75
Jan 1, 2022 10:00 AM;Jan 1, 2022 11:00 AM;46,608.00;21,909.50;3,877.00;13,773.75;4,258.75;24,698.50
Jan 1, 2022 11:00 AM;Jan 1, 2022 12:00 PM;46,654.00;22,342.00;4,142.50;12,114.25;6,085.25;24,312.00
Jan 1, 2022 12:00 PM;Jan 1, 2022 1:00 PM;46,976.00;21,912.50;4,391.00;10,611.25;6,910.25;25,063.50
Jan 1, 2022 1:00 PM;Jan 1, 2022 2:00 PM;43,696.00;20,221.25;4,768.25;9,098.50;6,354.50;23,474.75
Jan 1, 2022 2:00 PM;Jan 1, 2022 3:00 PM;41,577.00;17,667.50;5,135.00;7,977.25;4,555.25;23,909.50
Jan 1, 2022 3:00 PM;Jan 1, 2022 4:00 PM;41,298.00;14,870.75;5,291.75;7,649.00;1,930.00;26,427.25
Jan 1, 2022 4:00 PM;Jan 1, 2022 5:00 PM;43,882.00;13,946.50;5,477.50;8,288.25;180.75;29,935.50
Jan 1, 2022 5:00 PM;Jan 1, 2022 6:00 PM;46,102.00;15,290.75;5,635.00;9,655.75;0.00;30,811.25
Jan 1, 2022 6:00 PM;Jan 1, 2022 7:00 PM;48,870.00;16,879.00;5,704.00;11,175.00;0.00;31,991.00
Jan 1, 2022 7:00 PM;Jan 1, 2022 8:00 PM;51,844.00;18,310.00;5,731.25;12,578.75;0.00;33,534.00
Jan 1, 2022 8:00 PM;Jan 1, 2022 9:00 PM;52,375.00;19,658.50;5,856.75;13,801.75;0.00;32,716.50
Jan 1, 2022 9:00 PM;Jan 1, 2022 10:00 PM;50,911.00;20,961.75;6,000.50;14,961.25;0.00;29,949.25
Jan 1, 2022 10:00 PM;Jan 1, 2022 11:00 PM;48,987.00;21,969.75;6,146.50;15,823.25;0.00;27,017.25
Jan 1, 2022 11:00 PM;Jan 2, 2022 12:00 AM;47,936.00;22,996.00;6,182.00;16,814.00;0.00;24,940.00
Jan 2, 2022 12:00 AM;Jan 2, 2022 1:00 AM;47,614.00;23,826.25;6,389.25;17,437.00;0.00;23,787.75
Jan 2, 2022 1:00 AM;Jan 2, 2022 2:00 AM;47,145.00;23,852.50;6,141.00;17,711.50;0.00;23,292.50
Jan 2, 2022 2:00 AM;Jan 2, 2022 3:00 AM;46,912.00;23,941.75;6,058.50;17,883.25;0.00;22,970.25
Jan 2, 2022 3:00 AM;Jan 2, 2022 4:00 AM;46,773.00;23,986.50;5,931.75;18,054.75;0.00;22,786.50
Jan 2, 2022 4:00 AM;Jan 2, 2022 5:00 AM;46,259.00;23,874.50;5,759.00;18,115.50;0.00;22,384.50
Jan 2, 2022 5:00 AM;Jan 2, 2022 6:00 AM;45,774.00;23,693.75;5,584.00;18,109.75;0.00;22,080.25
Jan 2, 2022 6:00 AM;Jan 2, 2022 7:00 AM;46,386.00;24,002.75;5,395.50;18,607.25;0.00;22,383.25
Jan 2, 2022 7:00 AM;Jan 2, 2022 8:00 AM;47,890.00;24,394.00;5,246.25;19,147.75;0.00;23,496.00
Jan 2, 2022 8:00 AM;Jan 2, 2022 9:00 AM;50,205.00;25,430.50;5,155.25;19,991.50;283.75;24,774.50
Jan 2, 2022 9:00 AM;Jan 2, 2022 10:00 AM;53,243.00;27,887.00;5,063.50;21,134.25;1,689.25;25,356.00
Jan 2, 2022 10:00 AM;Jan 2, 2022 11:00 AM;57,068.00;30,868.25;5,145.00;22,312.50;3,410.75;26,199.75
Jan 2, 2022 11:00 AM;Jan 2, 2022 12:00 PM;61,207.00;33,620.75;5,333.25;23,645.25;4,642.25;27,586.25
Jan 2, 2022 12:00 PM;Jan 2, 2022 1:00 PM;63,392.00;36,038.25;5,493.00;25,619.50;4,925.75;27,353.75
Jan 2, 2022 1:00 PM;Jan 2, 2022 2:00 PM;63,282.00;37,791.25;5,594.50;27,904.75;4,292.00;25,490.75
Jan 2, 2022 2:00 PM;Jan 2, 2022 3:00 PM;63,775.00;38,863.00;5,657.25;30,140.25;3,065.50;24,912.00
Jan 2, 2022 3:00 PM;Jan 2, 2022 4:00 PM;63,978.00;39,243.50;5,739.00;32,212.50;1,292.00;24,734.50
Jan 2, 2022 4:00 PM;Jan 2, 2022 5:00 PM;65,008.00;39,503.25;5,832.75;33,532.50;138.00;25,504.75
Jan 2, 2022 5:00 PM;Jan 2, 2022 6:00 PM;67,512.00;40,277.00;6,015.50;34,261.50;0.00;27,235.00
Jan 2, 2022 6:00 PM;Jan 2, 2022 7:00 PM;68,717.00;40,695.25;6,146.00;34,549.25;0.00;28,021.75
Jan 2, 2022 7:00 PM;Jan 2, 2022 8:00 PM;68,569.00;40,716.50;6,246.00;34,470.50;0.00;27,852.50
Jan 2, 2022 8:00 PM;Jan 2, 2022 9:00 PM;66,554.00;40,253.00;6,323.50;33,929.50;0.00;26,301.00
Jan 2, 2022 9:00 PM;Jan 2, 2022 10:00 PM;64,575.00;39,681.00;6,309.25;33,371.75;0.00;24,894.00
Jan 2, 2022 10:00 PM;Jan 2, 2022 11:00 PM;63,044.00;38,374.00;6,307.50;32,066.50;0.00;24,670.00
Jan 2, 2022 11:00 PM;Jan 3, 2022 12:00 AM;61,752.00;37,923.25;6,352.00;31,571.25;0.00;23,828.75
Jan 3, 2022 12:00 AM;Jan 3, 2022 1:00 AM;58,474.00;36,595.50;6,373.00;30,222.50;0.00;21,878.50
Jan 3, 2022 1:00 AM;Jan 3, 2022 2:00 AM;57,051.00;36,636.75;6,360.75;30,276.00;0.00;20,414.25
Jan 3, 2022 2:00 AM;Jan 3, 2022 3:00 AM;55,836.00;37,546.00;6,426.25;31,119.75;0.00;18,290.00
Jan 3, 2022 3:00 AM;Jan 3, 2022 4:00 AM;56,201.00;38,352.25;6,428.25;31,924.00;0.00;17,848.75
Jan 3, 2022 4:00 AM;Jan 3, 2022 5:00 AM;56,790.00;38,919.75;6,394.25;32,525.50;0.00;17,870.25
Jan 3, 2022 5:00 AM;Jan 3, 2022 6:00 AM;60,923.00;39,533.50;6,246.75;33,286.75;0.00;21,389.50
Jan 3, 2022 6:00 AM;Jan 3, 2022 7:00 AM;67,287.00;40,614.25;6,157.75;34,456.50;0.00;26,672.75
Jan 3, 2022 7:00 AM;Jan 3, 2022 8:00 AM;72,954.00;40,876.25;6,189.50;34,686.75;0.00;32,077.75
Jan 3, 2022 8:00 AM;Jan 3, 2022 9:00 AM;76,077.00;41,080.00;6,182.00;34,665.50;232.50;34,997.00
Jan 3, 2022 9:00 AM;Jan 3, 2022 10:00 AM;77,051.00;42,297.75;6,193.50;34,566.50;1,537.75;34,753.25
Jan 3, 2022 10:00 AM;Jan 3, 2022 11:00 AM;77,438.00;44,267.00;6,198.75;34,684.25;3,384.00;33,171.00
Jan 3, 2022 11:00 AM;Jan 3, 2022 12:00 PM;77,714.00;46,189.75;6,200.00;35,034.00;4,955.75;31,524.25
Jan 3, 2022 12:00 PM;Jan 3, 2022 1:00 PM;77,702.00;46,999.25;6,198.25;35,284.25;5,516.75;30,702.75
Jan 3, 2022 1:00 PM;Jan 3, 2022 2:00 PM;76,890.00;46,214.25;6,194.25;35,017.75;5,002.25;30,675.75
Jan 3, 2022 2:00 PM;Jan 3, 2022 3:00 PM;74,668.00;43,812.25;6,201.75;34,183.75;3,426.75;30,855.75
Jan 3, 2022 3:00 PM;Jan 3, 2022 4:00 PM;73,266.00;40,532.50;6,262.75;32,943.00;1,326.75;32,733.50
Jan 3, 2022 4:00 PM;Jan 3, 2022 5:00 PM;74,191.00;38,405.00;6,260.75;32,025.00;119.25;35,786.00
Jan 3, 2022 5:00 PM;Jan 3, 2022 6:00 PM;76,005.00;37,915.50;6,235.25;31,680.25;0.00;38,089.50
Jan 3, 2022 6:00 PM;Jan 3, 2022 7:00 PM;76,277.00;37,650.75;6,196.75;31,454.00;0.00;38,626.25
Jan 3, 2022 7:00 PM;Jan 3, 2022 8:00 PM;74,801.00;37,049.75;6,060.50;30,989.25;0.00;37,751.25
Jan 3, 2022 8:00 PM;Jan 3, 2022 9:00 PM;71,770.00;36,102.75;5,919.00;30,183.75;0.00;35,667.25
Jan 3, 2022 9:00 PM;Jan 3, 2022 10:00 PM;67,315.00;34,841.50;5,753.25;29,088.25;0.00;32,473.50
Jan 3, 2022 10:00 PM;Jan 3, 2022 11:00 PM;63,805.00;32,716.25;5,498.75;27,217.50;0.00;31,088.75
Jan 3, 2022 11:00 PM;Jan 4, 2022 12:00 AM;59,788.00;30,553.50;4,971.75;25,581.75;0.00;29,234.50
Jan 4, 2022 12:00 AM;Jan 4, 2022 1:00 AM;56,885.00;27,031.25;4,557.00;22,474.25;0.00;29,853.75
Jan 4, 2022 1:00 AM;Jan 4, 2022 2:00 AM;53,739.00;24,339.75;3,490.00;20,849.75;0.00;29,399.25
Jan 4, 2022 2:00 AM;Jan 4, 2022 3:00 AM;51,018.00;21,989.50;2,916.50;19,073.00;0.00;29,028.50
Jan 4, 2022 3:00 AM;Jan 4, 2022 4:00 AM;49,630.00;19,466.00;2,278.75;17,187.25;0.00;30,164.00
Jan 4, 2022 4:00 AM;Jan 4, 2022 5:00 AM;48,882.00;17,189.00;1,849.75;15,339.25;0.00;31,693.00
Jan 4, 2022 5:00 AM;Jan 4, 2022 6:00 AM;49,287.00;15,269.50;1,667.25;13,602.25;0.00;34,017.50
Jan 4, 2022 6:00 AM;Jan 4, 2022 7:00 AM;53,230.00;13,927.75;1,640.25;12,287.50;0.00;39,302.25
Jan 4, 2022 7:00 AM;Jan 4, 2022 8:00 AM;58,933.00;12,799.25;1,651.25;11,148.00;0.00;46,133.75
